epochs,tr_loss,tr_acc,val_loss,val_acc
112,1.0455164194107056,57.8125,-0.30075132846832275,10.0
113,1.0172656059265137,55.625,0.5260509848594666,20.0
114,0.9924630999565125,61.5625,-0.21663324534893036,17.5
115,1.0168115854263307,58.75,-0.36383989453315735,11.25
116,1.0334901690483094,58.75,-0.047632474452257156,13.75
117,0.9921488165855408,63.125,-0.4942229390144348,10.0
118,1.0345421314239502,56.56250000000001,-0.4942229390144348,10.0
119,1.0279037714004517,56.875,0.8754410147666931,15.000000953674316
120,0.9534331917762756,65.625,0.6700306534767151,22.5
121,0.9698248147964478,55.3125,0.1306593269109726,11.25
122,0.9900397658348083,58.12500000000001,-0.4942229390144348,10.0
123,0.9725476741790772,64.0625,-0.4942229390144348,10.0
124,1.0189514398574828,59.375,-0.4942229390144348,10.0
125,1.0386090874671936,61.5625,0.26704564690589905,13.75
126,0.9769435167312622,57.1875,-0.4942229390144348,10.0
127,0.9824575662612915,56.875,-0.4942229390144348,10.0
128,0.9778716206550598,60.62499999999999,-0.4942229390144348,10.0
129,0.9875522732734681,61.875,-0.38907527923583984,16.25
130,0.9829855680465698,60.62499999999999,-0.4521639049053192,12.5
131,0.9481989622116089,62.18749999999999,-0.43826133012771606,12.5
132,0.9317206025123597,65.9375,-0.4942229390144348,10.0
133,0.9295206665992737,65.3125,-0.4942229390144348,10.0
134,1.0271862745285034,55.3125,-0.4942229390144348,10.0
135,0.9544003129005432,63.74999999999999,-0.23071150481700897,13.75
136,0.9426991224288941,63.4375,1.3240121603012085,13.75
137,1.011917233467102,59.68750000000001,0.8432542681694031,13.75
138,0.9897036910057068,60.0,-0.4942229390144348,10.0
139,0.96041841506958,58.75,0.3103894889354706,20.0
140,0.955061411857605,61.25000000000001,-0.4942229390144348,10.0
141,0.9382645010948181,61.5625,1.1166380643844604,13.75
142,1.018022859096527,57.49999999999999,0.49416443705558777,18.75
143,0.9797807812690735,56.56250000000001,0.24303363263607025,18.75
144,1.006667971611023,59.68750000000001,0.7430773973464966,17.5
145,1.0050964117050172,57.8125,1.212264895439148,15.000000953674316
146,0.9773745536804199,59.06249999999999,-0.3672811686992645,11.25
147,0.9552025318145752,64.6875,1.8116739988327026,23.75
148,0.9781816720962524,58.4375,1.3158901929855347,11.25
149,0.9737432122230529,61.25000000000001,1.3227273225784302,10.0
150,1.0264042377471925,55.93749999999999,1.3660712242126465,12.5
151,1.0109352469444275,57.49999999999999,-0.4942229390144348,10.0
152,0.9951359510421753,55.625,-0.4942229390144348,10.0
153,0.9508556604385376,62.18749999999999,-0.4942229390144348,10.0
154,0.8860310554504395,64.0625,-0.4353402256965637,10.0
155,0.95855233669281,64.0625,-0.1030738577246666,13.75
156,0.978605079650879,60.3125,-0.4942229390144348,10.0
157,0.8891232490539551,65.0,-0.32476332783699036,12.5
158,0.9727876424789429,58.12500000000001,-0.4942229390144348,10.0
159,0.9654139041900635,59.68750000000001,-0.4942229390144348,10.0
