epochs,tr_loss,tr_acc,val_loss,val_acc
71,2.3423513698577882,33.375,4.657139301300049,3.749999761581421
72,2.3869661617279054,29.75,2.3829119205474854,4.25
73,2.354131956100464,33.4375,3.960529088973999,4.0
74,2.4028241443634033,29.625,4.249845504760742,4.25
75,2.3722308444976807,31.874999999999996,2.4230635166168213,3.25
76,2.3146252155303957,33.0625,6.497450351715088,4.999999523162842
77,2.3554005908966062,32.6875,5.043160915374756,4.999999523162842
78,2.320103855133057,33.375,5.321235179901123,3.0
79,2.3199116134643556,34.25,5.922033786773682,3.5
80,2.355658483505249,33.375,2.4342007637023926,4.5
81,2.2981473064422606,34.75,3.465811014175415,4.999999523162842
82,2.3638067054748535,33.375,3.0904765129089355,4.75
83,2.2975062942504882,33.5625,3.9660749435424805,4.0
84,2.3336128616333007,33.9375,5.5361552238464355,4.0
85,2.3082183742523195,34.0625,5.3069024085998535,4.25
86,2.3059235191345215,33.625,3.185453414916992,3.5
87,2.314212975502014,34.9375,4.591067790985107,4.25
88,2.280789270401001,35.0,3.692455768585205,3.749999761581421
89,2.3263823413848876,32.0,6.583901405334473,4.25
90,2.3076207637786865,34.0,2.9444940090179443,5.25
91,2.286491355895996,35.25,3.73437762260437,3.5
92,2.2776537132263184,35.4375,4.499085426330566,3.25
93,2.2954952239990236,34.0625,4.9882917404174805,3.0
94,2.291295118331909,33.125,7.227834224700928,4.0
95,2.298632793426514,33.5,6.116923809051514,3.5
96,2.202505350112915,37.75,5.582873821258545,3.25
97,2.2522091388702394,35.1875,6.982121467590332,2.75
98,2.207505855560303,39.125,4.605452060699463,4.0
99,2.2567623710632323,38.125,4.692962169647217,1.5
100,2.2008508253097534,37.75,3.6673545837402344,4.0
101,2.195665202140808,38.0,6.22917366027832,4.5
102,2.2806131172180177,35.875,2.58608341217041,4.0
103,2.1878342247009277,40.5625,2.8715062141418457,2.499999761581421
104,2.2363853645324707,37.25,3.5040295124053955,3.749999761581421
105,2.202758903503418,37.5625,5.550365447998047,3.5
106,2.2162645721435545,38.0625,5.874485492706299,3.25
107,2.2161924743652346,38.375,5.9526896476745605,3.5
108,2.2189817667007445,37.625,3.1815953254699707,1.75
109,2.1594334936141966,41.25,2.490079402923584,3.5
110,2.178524866104126,37.0,4.024440765380859,3.749999761581421
111,2.208892741203308,37.0625,3.9747936725616455,3.25
112,2.1741340017318724,39.3125,3.0250418186187744,2.499999761581421
